Id;Location;Address;CreationDate;ReleaseVersion;InstallerId;Status;LastMaintenance;TerminalType;SoftwareVersion;IpAddress;OperatingSystem;SimCard
1;Gyöngyös;Hegyalja utca 20;2015. 12. 09. 0:00:00;v3.2;19;aktív;2016. 01. 09. 0:00:00;ATM;Soft 2.8;192.168.247.3;Windows;117303185
2;Hatvan;Vörösmarty utca 9;2020. 03. 06. 0:00:00;v9.4;18;raktárban;2021. 12. 06. 0:00:00;ATM;Soft 2.6;192.168.167.238;Windows;164607101
3;Esztergom;Rét utca 26;2022. 06. 30. 0:00:00;v4.1;16;-;2023. 01. 30. 0:00:00;ATM;Soft 3.6;192.168.119.157;Windows;790477186
4;Cegléd;Zrínyi utca 37;2017. 12. 22. 0:00:00;v9.0;19;-;2019. 08. 22. 0:00:00;ATM;Soft 3.0;192.168.231.106;Windows;560822791
5;Csongrád;Béke utca 32;2023. 04. 13. 0:00:00;v2.5;13;aktív;2023. 09. 13. 0:00:00;ATM;Soft 1.0;192.168.197.184;Windows;520976002
6;Tata;Fő utca 71;2024. 10. 20. 0:00:00;v6.6;20;-;2025. 02. 20. 0:00:00;ATM;Soft 1.9;192.168.133.34;Windows;748591578
7;Sárbogárd;Arany János utca 22;2021. 08. 30. 0:00:00;v8.3;15;-;2023. 05. 30. 0:00:00;ATM;Soft 3.1;192.168.253.179;Windows;564155673
8;Gárdony;Kert utca 57;2017. 04. 05. 0:00:00;v7.5;17;-;2018. 03. 05. 0:00:00;ATM;Soft 2.2;192.168.36.147;Windows;412351106
9;Sárvár;Fő utca 34;2018. 09. 09. 0:00:00;v4.7;18;aktív;2019. 07. 09. 0:00:00;ATM;Soft 4.0;192.168.251.82;Windows;276989658
10;Budaörs;Deák Ferenc utca 57;2017. 01. 28. 0:00:00;v4.7;14;-;2017. 05. 28. 0:00:00;ATM;Soft 3.4;192.168.153.254;Windows;339080986
11;Gárdony;Jázmin utca 28;2017. 09. 27. 0:00:00;v8.0;12;-;2018. 09. 27. 0:00:00;ATM;Soft 1.8;192.168.142.51;Windows;758441308
12;Nagykanizsa;Erkel Ferenc utca 9;2024. 05. 22. 0:00:00;v4.5;20;-;2025. 05. 22. 0:00:00;ATM;Soft 1.2;192.168.224.20;Windows;917805932
13;Budaörs;Bem utca 21;2020. 10. 15. 0:00:00;v1.7;15;raktárban;2021. 02. 15. 0:00:00;ATM;Soft 4.1;192.168.40.176;Windows;297486768
