1;Törökszentmiklós;Arany János utca 75;2022.08.22;v6.8;13;-;2023.08.22;ATM;Soft 2.6;192.168.92.81;Windows;347259789
2;Dunakeszi;Vasút utca 62;2020.11.30;v7.0;15;aktív;2021.11.30;ATM;Soft 4.9;192.168.139.3;Windows;924252491
3;Nagykáta;Dózsa György utca 27;2022.04.07;v4.5;13;raktárban;2022.07.07;ATM;Soft 2.8;192.168.212.29;Windows;882357216
4;Ráckeve;Erkel Ferenc utca 38;2019.11.12;v5.8;12;raktárban;2021.09.12;ATM;Soft 3.5;192.168.80.29;Windows;838740635
5;Budaörs;Erkel Ferenc utca 13;2019.11.06;v2.2;18;raktárban;2021.02.06;ATM;Soft 4.0;192.168.63.174;Windows;348064833
6;Tiszafüred;Ady Endre utca 17;2024.05.30;v7.7;16;-;2026.02.28;ATM;Soft 1.3;192.168.28.123;Windows;424822623
7;Kőszeg;Erkel Ferenc utca 99;2018.04.07;v6.9;17;aktív;2019.04.07;ATM;Soft 1.1;192.168.252.253;Windows;718027877
8;Püspökladány;Béke utca 23;2016.01.09;v9.1;19;-;2016.08.09;ATM;Soft 4.8;192.168.193.173;Windows;787751339
9;Gyál;Akácfa utca 92;2017.08.29;v6.0;12;-;2019.04.29;ATM;Soft 2.7;192.168.166.127;Windows;557246893
10;Vác;Széchenyi utca 76;2021.12.19;v9.1;20;-;2022.02.19;ATM;Soft 1.1;192.168.171.9;Windows;484016118
11;Nagykáta;Közép utca 9;2022.02.02;v1.2;17;aktív;2023.09.02;ATM;Soft 2.0;192.168.150.215;Windows;595141519
12;Nagykáta;Sport utca 85;2016.03.28;v6.5;17;aktív;2017.01.28;ATM;Soft 4.7;192.168.131.72;Windows;957017802
13;Sárbogárd;Zrínyi utca 69;2018.05.07;v5.2;14;-;2018.10.07;ATM;Soft 1.3;192.168.192.195;Windows;729996596
14;Ózd;Rét utca 71;2023.05.06;v1.1;19;-;2024.03.06;ATM;Soft 1.9;192.168.58.12;Windows;621817086
15;Szombathely;Rózsa utca 1;2016.04.12;v9.5;16;aktív;2016.08.12;ATM;Soft 3.9;192.168.26.23;Windows;570387858
16;Salgótarján;Nyár utca 34;2024.03.18;v6.0;15;-;2025.11.18;ATM;Soft 1.7;192.168.180.253;Windows;751101809
17;Pápa;Tavasz utca 56;2018.08.27;v7.4;14;aktív;2020.05.27;ATM;Soft 1.8;192.168.53.230;Windows;509469098
18;Sopron;Árpád utca 57;2022.03.31;v8.6;18;-;2023.03.31;ATM;Soft 4.2;192.168.14.66;Windows;435730888
19;Kaposvár;Gyöngyvirág utca 72;2024.01.07;v6.2;13;aktív;2024.05.07;ATM;Soft 1.0;192.168.147.74;Windows;325311748
